Date,Sport,Event,Bet Type,Line,Side,Odds,Odds Decimal,Stake,Win Probability,DTM,Result,Has Results,Predicted Value,Stat Value
2026-08-05,WNBA,Flau'jae Johnson,Total Rebounds,4.5,over,-114,1.88,5,49.32,-8.46,,FALSE,4.8,
2026-08-05,WNBA,Dominique Malonga,Total Rebounds,7.5,over,-146,1.68,5,52.16,-17.68,,FALSE,7.63,
2026-08-05,WNBA,Ezi Magbegor,Total Rebounds,4.5,under,110,2.1,5,50.25,5.02,,FALSE,4.22,
2026-08-05,WNBA,Pauline Astier,Total Assists,2.5,over,-158,1.63,5,63,4.55,,FALSE,3.68,
2026-08-05,WNBA,Sabrina Ionescu,Total Assists,5.5,over,-136,1.74,5,49.36,-19.5,,FALSE,5.75,
2026-08-05,WNBA,Jonquel Jones,Total Assists,2.5,over,-182,1.55,5,63.75,-2.22,,FALSE,3.44,
2026-08-05,WNBA,Breanna Stewart,Total Assists,3.5,over,-118,1.85,5,54.17,0.08,,FALSE,3.73,
2026-08-05,WNBA,Jade Melbourne,Total Assists,3.5,over,-158,1.63,5,56.13,-13.2,,FALSE,4.02,
2026-08-05,WNBA,Natisha Hiedeman,Total Assists,5.5,under,-152,1.66,5,58.24,-5.23,,FALSE,5.23,
2026-08-05,WNBA,Flau'jae Johnson,Total Assists,3.5,under,-182,1.55,5,57.51,-19.82,,FALSE,3.03,
2026-08-05,WNBA,Rebecca Allen,Total Points Plus Rebounds,8.5,over,-112,1.89,5,57.26,9.39,,FALSE,9.15,
2026-08-05,WNBA,Jonquel Jones,Total Points Plus Rebounds,23.5,over,-106,1.94,5,52.11,1.34,,FALSE,23.69,
2026-08-05,WNBA,Breanna Stewart,Total Points Plus Rebounds,30.5,over,-130,1.77,5,54.17,-5.41,,FALSE,31.45,
2026-08-05,WNBA,Sabrina Ionescu,Total Points Plus Rebounds,23.5,under,-108,1.93,5,49.78,-4.46,,FALSE,23.21,
2026-08-05,WNBA,Awa Fam,Total Points Plus Rebounds,15.5,over,-106,1.94,5,52.08,1.29,,FALSE,15.55,
2026-08-05,WNBA,Natisha Hiedeman,Total Points Plus Rebounds,19.5,under,-125,1.8,5,54.02,-3.46,,FALSE,18.88,
2026-08-05,WNBA,Flau'jae Johnson,Total Points Plus Rebounds,20.5,under,-127,1.79,5,56.42,1.08,,FALSE,20.24,
2026-08-05,WNBA,Ezi Magbegor,Total Points Plus Rebounds,11.5,under,-112,1.89,5,47.32,-11.68,,FALSE,9.97,
2026-08-05,WNBA,Dominique Malonga,Total Points Plus Rebounds,23.5,under,-120,1.83,5,55.4,1.89,,FALSE,22.28,
2026-08-05,WNBA,Pauline Astier,Total Points Plus Assists,11.5,over,-112,1.89,5,55.7,6.09,,FALSE,13.16,
2026-08-05,WNBA,Sabrina Ionescu,Total Points Plus Assists,25.5,over,-114,1.88,5,53.59,0.69,,FALSE,26.49,
2026-08-05,WNBA,Jonquel Jones,Total Points Plus Assists,17.5,over,-114,1.88,5,54.24,2.08,,FALSE,18.55,
2026-08-05,WNBA,Breanna Stewart,Total Points Plus Assists,25.5,over,-125,1.8,5,56.1,1.22,,FALSE,27.18,
2026-08-05,WNBA,Jade Melbourne,Total Points Plus Assists,11.5,over,-118,1.85,5,56.73,5.67,,FALSE,10.42,
2026-08-05,WNBA,Natisha Hiedeman,Total Points Plus Assists,21.5,under,-104,1.96,5,51.56,1.18,,FALSE,21.3,
2026-08-05,WNBA,Flau'jae Johnson,Total Points Plus Assists,18.5,under,-114,1.88,5,52.24,-2.2,,FALSE,18.03,
2026-08-05,WNBA,Jonquel Jones,Total Rebounds Plus Assists,11.5,over,-136,1.74,5,50.58,-16.64,,FALSE,11.74,
2026-08-05,WNBA,Sabrina Ionescu,Total Rebounds Plus Assists,9.5,under,108,2.08,5,49.35,2.45,,FALSE,9.44,
2026-08-05,WNBA,Breanna Stewart,Total Rebounds Plus Assists,12.5,under,-118,1.85,5,56.66,5.51,,FALSE,11.82,
2026-08-05,WNBA,Natisha Hiedeman,Total Rebounds Plus Assists,7.5,over,-144,1.69,5,57.26,-4.28,,FALSE,7.34,
2026-08-05,WNBA,Flau'jae Johnson,Total Rebounds Plus Assists,7.5,over,-128,1.78,5,58.83,6.13,,FALSE,8.13,
2026-08-05,WNBA,Pauline Astier,Total Points Plus Assists Plus Rebounds,13.5,over,-114,1.88,5,60.18,14.79,,FALSE,16.2,
2026-08-05,WNBA,Jonquel Jones,Total Points Plus Assists Plus Rebounds,26.5,over,-112,1.89,5,53.19,0.77,,FALSE,27.37,
2026-08-05,WNBA,Breanna Stewart,Total Points Plus Assists Plus Rebounds,34.5,over,-120,1.83,5,52.52,-4.46,,FALSE,35.08,
2026-08-05,WNBA,Sabrina Ionescu,Total Points Plus Assists Plus Rebounds,29.5,under,-110,1.91,5,54.46,4.38,,FALSE,28.8,
2026-08-05,WNBA,Awa Fam,Total Points Plus Assists Plus Rebounds,17.5,over,-108,1.93,5,51.84,-0.17,,FALSE,18.83,
2026-08-05,WNBA,Natisha Hiedeman,Total Points Plus Assists Plus Rebounds,24.5,under,-112,1.89,5,48.7,-8.76,,FALSE,23.75,
2026-08-05,WNBA,Flau'jae Johnson,Total Points Plus Assists Plus Rebounds,23.5,under,-122,1.82,5,53.07,-4.18,,FALSE,22.58,
2026-08-05,WNBA,Dominique Malonga,Total Points Plus Assists Plus Rebounds,25.5,under,-128,1.78,5,54.59,-3.54,,FALSE,23.63,
2026-08-05,WNBA,Rebecca Allen,Total Points,5.5,over,-130,1.77,5,56.42,-0.22,,FALSE,4.93,
2026-08-05,WNBA,Pauline Astier,Total Points,8.5,over,-110,1.91,5,55.95,7.5,,FALSE,10.37,
2026-08-05,WNBA,Sabrina Ionescu,Total Points,19.5,over,-114,1.88,5,52.85,-0.9,,FALSE,21.37,
2026-08-05,WNBA,Jonquel Jones,Total Points,14.5,over,-108,1.93,5,49.97,-4.06,,FALSE,14.97,
2026-08-05,WNBA,Breanna Stewart,Total Points,22.5,over,-102,1.98,5,52.3,3.66,,FALSE,24.31,
2026-08-05,WNBA,Awa Fam,Total Points,9.5,over,-102,1.98,5,52.84,4.73,,FALSE,10.06,
2026-08-05,WNBA,Flau'jae Johnson,Total Points,15.5,over,-108,1.93,5,46.47,-11.35,,FALSE,15.68,
